canonical_SMILES,raw_SMILES,potency,source
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1,active
O=C(Nc1ccccc1)c1cnc2ccccc2n1,O=C(Nc1ccccc1)c1cnc2ccccc2n1,1,active
CCc1cc(-c2c(C)noc2C)cc(CC)c1Nc1ccccc1C(=O)O,CCc1cc(-c2c(C)noc2C)cc(CC)c1Nc1ccccc1C(=O)O,1,active
O=C(O)/C=C/C(=O)NNC(=O)c1cnccc1Cc1cccc2ccccc12,O=C(O)/C=C/C(=O)NNC(=O)c1cnccc1Cc1cccc2ccccc12,1,active
NC(=O)C(CC1CCCCC1)NC(=O)c1ccc(-c2cccc3[nH]ccc23)s1,NC(=O)C(CC1CCCCC1)NC(=O)c1ccc(s1)-c1cccc2[nH]ccc12,1,active
O=C(O)CNC(=O)c1nc(Nc2ccc([N+](=O)[O-])cc2)ccc1O,O=C(O)CNC(=O)c1nc(Nc2ccc([N+](=O)[O-])cc2)ccc1O,1,active
Cc1ccc2[nH]cc(CNCC3(N4CCC(F)C4)COC3)c2c1,Cc1ccc2[nH]cc(CNCC3(N4CCC(F)C4)COC3)c2c1,1,active
Cc1noc(C)c1-c1cc(Cl)c(Nc2cccc(F)c2C(=O)O)c(Cl)c1,Cc1noc(C)c1-c1cc(Cl)c(Nc2cccc(F)c2C(=O)O)c(Cl)c1,1,active
N#CSc1ccc2oc(C3=NCCN3)cc2c1,N#CSc1ccc2oc(C3=NCCN3)cc2c1,1,active
O=C(O)c1ccccc1Nc1c(Cl)cc(-c2cnoc2)cc1Cl,O=C(O)c1ccccc1Nc1c(Cl)cc(-c2cnoc2)cc1Cl,1,active
O=C(O)/C=C/C(=O)NNC(=O)c1cnccc1Cc1ccc2ccccc2c1,O=C(O)/C=C/C(=O)NNC(=O)c1cnccc1Cc1ccc2ccccc2c1,1,active
COc1ccc2ncc(CNCC3(N4CCCC4)COC3)cc2c1,COc1ccc2ncc(CNCC3(N4CCCC4)COC3)cc2c1,1,active
COc1ccc2nc(Cl)c(CNCC3(N4CCCC4)COC3)cc2c1,COc1ccc2nc(Cl)c(CNCC3(COC3)N3CCCC3)cc2c1,1,active
CC(C)CC(NC(=O)c1ccc(-c2cccc(O)c2)cc1)C(N)=O,CC(C)CC(NC(=O)c1ccc(cc1)-c1cccc(O)c1)C(N)=O,1,active
Nc1c2c(nc3ccccc13)CCCC2,Nc1c2c(nc3ccccc13)CCCC2,1,active
O=C(O)/C=C/C(=O)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,O=C(O)/C=C/C(=O)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21,1,active
Cc1c(Cl)cccc1NC(=O)c1cnc2ccccc2n1,Cc1c(Cl)cccc1NC(=O)c1cnc2ccccc2n1,1,active
Cc1cc(-c2c(C)noc2C)cc(C)c1Nc1ccccc1C(=O)O,Cc1cc(-c2c(C)noc2C)cc(C)c1Nc1ccccc1C(=O)O,1,active
FC(F)(F)c1ccc(Cl)c(-c2ccc(CNCC3(N4CCCC4)COC3)o2)c1,FC(F)(F)c1ccc(Cl)c(-c2ccc(CNCC3(N4CCCC4)COC3)o2)c1,1,active
FC1CCN(C2(CNCc3ccc(-c4ccccc4)o3)COC2)C1,FC1CCN(C2(CNCc3ccc(-c4ccccc4)o3)COC2)C1,1,active
FC1CCN(C2(CNCC3CCC(c4ccccc4)O3)COC2)C1,FC1CCN(C1)C1(CNCC2CCC(O2)c2ccccc2)COC1,1,active
FC1CCN(C2(CNCc3c[nH]c4ccccc34)COC2)C1,FC1CCN(C2(CNCc3c[nH]c4ccccc34)COC2)C1,1,active
CC(C)(C)c1ccc(Cc2ccncc2C(=O)NNC(=O)/C=C/C(=O)O)cc1,CC(C)(C)c1ccc(Cc2ccncc2C(=O)NNC(=O)/C=C/C(=O)O)cc1,1,active
N#Cc1cccc(-c2ccc(C(=O)NC(c3ccccc3)c3ccccc3)s2)c1,O=C(NC(c1ccccc1)c1ccccc1)c1ccc(s1)-c1cccc(c1)C#N,1,active
N=C1Sc2ccccc2C2=NCCCN12,N=C1Sc2ccccc2C2=NCCCN12,1,active
COc1ncc(-c2ccc3cc(O)ccc3c2)cn1,COc1ncc(cn1)-c1ccc2cc(O)ccc2c1,1,active
Fc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,Fc1cccc2c(CNCC3(N4CCCC4)COC3)c[nH]c12,1,active
COc1cccc(Nc2c(Cl)cc(-c3c(C)noc3C)cc2Cl)c1C(=O)O,COc1cccc(Nc2c(Cl)cc(-c3c(C)noc3C)cc2Cl)c1C(=O)O,1,active
C#CCCC1(CCC(=O)Nc2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Oc3cc(O)ccc32)NN1,C#CCCC1(CCC(=O)Nc2ccc3c(c2)C(=O)OC32c3ccc(O)cc3Oc3cc(O)ccc32)NN1,1,active
O=C(Nc1cccc(Cl)c1)c1cnc2ccccc2n1,Clc1cccc(NC(=O)c2cnc3ccccc3n2)c1,1,active
Cc1noc(C)c1-c1cc(Cl)c(Nc2cccc(CN3CCCOCC3)c2C(=O)O)c(C2CC2)c1,Cc1noc(C)c1-c1cc(Cl)c(Nc2cccc(CN3CCCOCC3)c2C(=O)O)c(C2CC2)c1,1,active
